Nerópolis,-16.4078661,-49.1828385
Ylöjärvi,61.549558,23.5960975
Senhor da Serra,40.152053,-8.3479579
Gorichevo,43.8484382,26.4498912
Rongai,-1.3938636,36.7442377
Hirvensalmi,61.6515876,26.7707405
Dugcal,13.6261714,123.1606556
Villa Santa Rosa,-34.5474534,-58.5230816
Sydney Mines,46.2475531,-60.2362743
Hechuan,29.972084,106.27613
Kakan,-10.0055535,124.458641
Carice,19.3789666,-71.831932
Águas Formosas,-17.0806813,-40.9387356
Linshi,28.3430508,121.5724869
Mutum,-19.9125279,-41.4812771
Lupao,15.847683,120.9187827
Atolina,53.7815116,27.4312339
Wukeshu,24.820587,103.323844
Mýto,49.794097,12.5783985
Pinamalayan,12.9978739,121.4181928
Charneca da Cotovia,38.4832851,-9.1025502
Blučina,49.0549661,16.6445006
Raškovice,49.6197452,18.4728742
Idi Iroko,6.6401727,2.7530936
Beigang,23.5958633,120.2858846
Supu,26.990979,106.342164
Jianshan,46.64635,131.158416
Cabak Satu,-6.2287891,106.6914555
Kolbano,-9.9732219,124.5306837
Sepulu,-6.8973394,112.9565196
Renfrew,45.4718665,-76.6841393
Thị Trấn Văn Quan,21.8628802,106.5377839
Rublëvo,55.7242814,37.1853286
Shunyi,40.130347,116.65465
Kacha,44.7771057,33.5458805
Al Fūlah,11.7315405,28.3578828
Taoyang,31.2889778,121.3464267
Sinjhoro,26.0411298,68.9203839
Ōmuta,32.9808142,130.5050825
Laguna Salada,19.6478178,-71.0998393
Hacı Zeynalabdin,40.4422219,49.7584523
Libog,13.2409585,123.7750159
Lagasit,15.9946032,120.7916737
Bromma,59.3595369,17.9873583
Eha Amufu,6.6614944,7.7688358
Llusco,-14.34823,-72.121559
Sa Kaeo,17.7116584,100.3477801
Kaga Bandoro,6.9960368,19.1850317
Karangnunggal,-7.6295345,108.1665855
Bayart Huxu,45.1,120.35
Repentigny,45.716147,-73.5471039
Kuching,1.5376351,110.321945
Dera Bugti,28.7382793,69.1963258
Mauloo,-8.7517433,122.0183914
Kuwayris Sharqī,36.1722416,37.5454589
La Unión,4.5191097,-76.0739999
Okcheon,36.3063646,127.5712809
Saint-Laurent-Blangy,50.300542,2.801689
Gōdo,35.4208388,136.6048742
San Agustin,20.5439984,-103.4649786
Leon Postigo,8.1503324,122.9244113
Roshal’,55.6583701,39.8653499
Wangbuzhuang,36.962883,115.260968
Dayang,30.2827181,120.1245708
Cookshire-Eaton,45.41675,-71.6324
Somita,13.2063104,-16.3037052
Tovarnik,45.1596128,19.1621323
Xi’an,34.341574,108.93977
Elassóna,39.8949802,22.1890872
Altuf’yevskiy,55.879456,37.578092
Innisfil,44.3417656,-79.542666
Vostryakovo,55.6613674,37.4429397
Huage,29.291779,112.666947
San Carlos,8.797145,-75.698571
Bantilan,-0.8922447,119.8504075
Amapala,13.2916538,-87.6519473
Ollantaytambo,-13.2583689,-72.2642679
Prochnookopskaya,45.0566401,41.0932623
Alcabideche,38.7285284,-9.4069248
Pucheng,27.917263,118.541256
Savski Venac,44.7821727,20.4514425
Miguel Aleman,27.619444,-99.624444
Pirapora,-17.3410721,-44.9449465
Taganrog,47.3016629,38.9325712
Kembang,-6.4712737,110.8171082
Jishui,27.229632,115.135507
Jatipamor,-6.820816,108.1992015
Ntungamo,-0.9807341,30.2512728
Shetan,29.98784,107.621139
Yuannan,24.4752847,101.3431058
Ait Ali,36.569805,4.448361
Gucheng,37.347409,115.965874
Novoselitsa,48.2211075,26.2712988
Shuangwang,21.795522,109.825927
Ríohacha,11.3421375,-73.0405277
Energetik,56.0972538,40.1985263
Shufeng,-33.7677679,150.825109
Indianapolis,39.67,-86.19
Mujur,-8.7615563,116.3574136
Panjiang,25.085589,104.8951
